parent_code,parent_title,child_code,child_title
EIM00010,Data protection,EIM00010,Data protection
EIM00100,About this manual,EIM00100,About this manual
EIM00500,Employment income: contents,EIM00505,General: contents
EIM00500,Employment income: contents,EIM01000,Particular items: A to P: contents
EIM00500,Employment income: contents,EIM01650,"Particular items: New Deal, employment zones and particular exemptions: contents"
EIM00500,Employment income: contents,EIM03050,Employee Ownership Trusts â€“ qualifying bonus payments: introduction
EIM00500,Employment income: contents,EIM03100,Removal or transfer costs: contents
EIM00500,Employment income: contents,EIM03600,Restrictive covenants: contents
EIM00500,Employment income: contents,EIM04700,Particular items: R to Z: contents
EIM11300,Accommodation provided by reason of employment: contents,EIM11300,Accommodation provided by reason of employment: contents
EIM11300,Accommodation provided by reason of employment: contents,EIM11342,
